,description,review.point,sentiment
2246,"Fiery peat kiln smoke; tar; and ripe barley on the nose. Not overly complex; but not a problem either. On the palate; the whisky starts out acceptable enough. But by mid-palate; the whisky turns harsh and unpleasant; with petroleum and vegetal notes that continues through to the finish. (Exclusive to Astor Wines and Spirits.) 
",63,0
2245,"The sherry is very dominant and cloying; which is unfortunate. And I’m not crazy about the quality of the sherry (or perhaps even the wood it was aged in). I have great respect for both Highland Park and Binny’s; but this is somewhat disappointing for a Highland Park. Tasted twice; with the same opinion. (Bottled for Binny’s Beverage Depot) 
",70,0
2244,Earthy; fleshy notes with brooding grape notes and a gamey finish -- the Nebbiolo grape influence is obvious. I enjoy Barolo wine and I enjoy Edradour whisky; but the flavors in this whisky mix like oil and water. (Exclusive to Binny’s Beverage Depot.),70,0
2243,"Aged in a sherry cask; which adds sweet notes of toffee; Caribbean rum; waxed fruit; red licorice; and fruitcake to go along with the earthy smoke and lingering peat. A much sweeter; fruitier affair than the Croftengea also reviewed here; but behind all that sherry there’s still a whisky that needs a little more maturing. 
",71,0
2242,Its best attributes are vanilla; toasted coconut; and tropical fruit; but the rest of this grain whisky is a bit of a disappointment. It is thin; and at times harsh. A paint thinner component is evident (especially on the nose); along with more wood on the finish than this thin body can handle. Two Carsebridge grain Scotch whiskies from Duncan Taylor which I have tasted recently were much better: richer and creamier; and with more balance.,72,0
2241,"Youthful; and somewhat brooding for a Tomintoul. I can tell there’s some young whisky in here; as there’s a suggestion of new make spirit interwoven with notes of heather; ripe barley; raw peat; and lingering smoke. I like the concept; but wish the young component (the peated part of this whisky?) was matured a bit longer. 
",72,0
2240,"Quite pale in color. Very youthful and naked; with damp peat; leafy smoke; charred oak; and black licorice; pears in honey and vanilla-tinged barley. Quite an eye-opener for a non-Islay whisky. It’s a little green and ornery. Certainly an entertaining whisky; but a few more years in the barrel would round this whisky out; meld the flavors together; and add depth. 
",72,0
2239,"Origins is Benromach’s new program to highlight different aspects of whisky-making; which I think is a great idea. This expression focuses on the use of Golden Promise barley to make the malt; which is then aged in a sherry cask. Unfortunately; there’s so much sherry here that I struggle to appreciate the impact or distinction from the Golden Promise barley. Notes of ripe orchard fruit; tangerine; beeswax; sticky toffee pudding; and toasted almond. Lingering smoke and waxed fruit stays through to the finish. A weighty Benromach (from the Golden Promise and/or the sherry). I find the nose pleasant enough; but the sherry-induced waxed fruit component that emerges mid-palate is just too dominant. 
",72,0
2238,"Port Ellen is going to just keep getting rarer and more expensive; and the quality is going to get more variable. This one shows the traditional Port Ellen characteristics (seaweed; tar; charcoal; damp earth; vanilla; salt; white pepper); but it just seems to flatten out mid-palate; leading to a fairly lifeless; slightly astringent finish. I feel like some of the guts were ripped out of this whisky. Bottling at a higher strength (and not chill-filtered) would have helped immensely.
",73,0
2237,This Lowland distillery only operated from 1957-1975. Huge bourbon impact on the nose and palate; along with vanilla; coconut; stewed fruit; and dried wood spice -- especially on the finish; with lingering notes of anise; espresso; very dark chocolate; and charcoal. A taste of history for sure; but this is a whisky that never was meant to be aged this long.,73,0
2236,"Deep; thick nose; with sappy oak; dried citrus; old leather; spearmint; and background leafy smoke. Nicely viscous on the palate; with similar notes as the aroma. But mid-palate the age gets the best of this whisky. The flavors flatten out and the wood dominates through the finish as the leather notes linger.
   It’s a rare treat to taste a whisky this old. If you like Lalique (and have the money); then this new bottling is worth some consideration; because there are certainly moments of intrigue and pleasure on the nose and beginning of the palate. But I have tasted several other 50-plus year old Macallans; and I can say with certainty that the 50 year old Millennium bottling and the 1946 vintage release were better and can probably still be found for a significantly lower price (Only 420 bottles available worldwide.)",74,0
2235,"Huge oak impact for such a young whisky. Fresh oak shavings; dry vanilla; and subtle toasted coconut throughout. Some dried fruit; sultana; and toffee up front; but this is quickly consumed by the oak. Dry; hot; resinous finish. Not an old whisky; but already showing too much oak.
",74,0
2232,This Robert Burns World Federation Arran Single Island Malt is the Calvados or Poire Williams of the whisky world. There's no age statement on this whisky; but it has the classic aromas and flavors of sweet pears prominent in very young distilled spirits. The vanilla notes; along with its pale color; suggest a used bourbon cask. I suppose one could treat it as an aperitif; and possibly chill it down or serve it on the rocks.,75,0
2233,"Citrus peel; light maple syrup; and almonds; with emerging grape and vanilla. Somewhat elegant in nature; but the flavors do not especially complement each other. (Exclusive to Binny’s Beverage Depot.) 
",75,0
2234,What a contrast with the standard bottling. Here we have Knockando in a hugely active cask and; sadly; its fragile character collapses under the assault. The nose is oily and sulphury with notes of sealing wax; Turkish tobacco; and maraschino. The palate is dry and tannic; the opposite of what is needed for a whisky that is nutty and dusty in the first place.,75,0
2231,This amber-colored blend from the Gaelic Whisky Company has sweet barley notes and gentle spice aromas. The caramels prop up the dominant flavor of cold-pressed orange oil squeezed from the peel. A crescendo of peppery spice marks the late phase and distinguishes the swallow; before a finish of tangy citrus peel with a touch of clove. Perfectly straightforward blend but limited in scope; like a linear dot-to-dot connecting barley; orange peel; and spice.,76,0
2230,Since Diageo has included Knockando in its Special Release program it seemed only right to reacquaint myself with the standard bottling. This is Speyside in its maltiest guise. The nose is reminiscent of breakfast cereal: Weetabix and bran flakes; with a whisper of vanilla. The palate is light and dusty; and you get the impression that the malt just wants to scuttle across the tongue and down the throat as quickly as possible. A shy wee mouse of a dram. £30,76,0
2229,Since a change of ownership in 2014; the Loch Lomond range has been revamped; with the previous blue and black label single malt variants being dropped in favor of this repackaged NAS expression. Farmyard aromas on the early nose; then emerging malt and caramel. Discreet oak. Rounded on the palate; with immediate citrus fruits; toffee; allspice; and a suggestion of smoke. Spices persist through a slightly citric; cerealy; medium-length finish.,76,0
2217,"Nice to see Arran making it to 12 years old. Creamy on the palate and soothing in nature; with layers of sweetness (maple and butterscotch syrup; vanilla cream) and fruit (caramel apple; fried banana). Soft; congenial finish. A low-level yet persistent nutty/burnt rubber note detracts from what would otherwise be a very fun; pleasantly sweet whisky. (Note: at the time of publication; the whisky was not yet available in the U.S. Price above is UK price; converted to dollars).
",77,0
2218,This whisky comes from two bourbon casks; producing only 112 bottles. I believe it’s the most expensive Lowland whisky on the market. Unfortunately; its flavor doesn’t stand up to its price. While I applaud Morrison Bowmore's efforts to give us the opportunity to try such a mature expression of Auchentoshan; I feel that the whisky is past its prime. I wouldn't describe it as overly woody; like I have other whiskies that are 41 years old. Rather; I would describe it as overly funky. The whisky's aroma and flavor are very peculiar; with plenty of vegetal notes (cucumbers especially) combined with stewed fruit; golden raisins; rose petals; and spice (anise; clove). If it were $100 a bottle; I would suggest that you gather a few friends to chip in and buy a bottle; just for the experience. But at $2;000; I think we should leave this one for the collectors.,77,0
2219,"A very peculiar whisky. It’s interesting in some respects; with the thick; sweet Hungarian dessert wine fighting with damp peat smoke for attention. But it tastes a little disjointed; and a bit too youthful. With a few more years aging (before finishing in the Tokaji wine); the flavors should integrate and mature better. But as it is; this whisky is still “work in progress.” 
",77,0
